,,,,,,,,,,,
Propofol,mode,Manual,time(sec),bolus(mg),infusion(mg/hr),Conc blood(C1),Conc C2,Conc C3,Conc effect,Target,BIS
Patient data,,,0,160,0,23713.68721,0,0,0,0,93
Weight,89,kg,5,0,0,22066.68346,128.174384,7.763042,260.638736,0,93
Age,34,yr,10,0,0,20537.55336,246.738412,14.984876,500.226092,0,93
Length,179,cm,15,0,0,19117.84952,356.382299,21.70423,720.295725,0,93
Gender,female,,20,0,0,17799.72997,457.746789,27.957054,922.271581,0,93
Model:,Eleveld[2],,25,0,0,16575.91478,551.426698,33.776723,1107.474689,0,92.4
Dilution: ,10,mg/ml,30,0,0,15439.64575,637.974207,39.194221,1277.131609,0,90.6
V1:,6.747158,L ,35,0,0,14384.64904,717.901919,44.23831,1432.380498,0,88
k12:,0.329039,/min ,40,0,0,13405.10046,791.685693,48.935691,1574.277995,0,85.1
k21:,0.067416,/min ,45,0,0,12495.59323,859.767278,53.311154,1703.80397,0,82
k13:,0.163072,/min ,50,0,0,11651.10807,922.556759,57.387709,1821.868833,0,78.9
k31:,0.004072,/min ,55,0,0,10866.98542,980.434826,61.18672,1929.316735,0,76
k10:,0.372664,/min ,60,0,0,10138.89968,1033.754879,64.728018,2026.93119,0,73.3
keo: ,0.137493,/min ,65,0,0,9462.835245,1082.844986,68.030014,2115.439621,0,70.8
Thkeo: ,5.041335,min,70,0,0,8835.064329,1128.009698,71.1098,2195.516665,0,68.5
TPE: ,2.7,min ,75,0,0,8252.126294,1169.531733,73.983242,2267.788856,0,66.4
,,,80,0,0,7710.808528,1207.673544,76.665069,2332.836999,0,64.6
,,,85,0,0,7208.128663,1242.678768,79.168958,2391.200709,0,62.9
,,,90,0,0,6741.318074,1274.773576,81.5076,2443.379742,0,61.4
,,,95,0,0,6307.806563,1304.167924,83.692783,2489.83883,0,60.1
,,,100,0,0,5905.208132,1331.056718,85.735445,2531.008599,0,58.9
,,,105,0,0,5531.307785,1355.620889,87.645745,2567.288531,0,57.9
,,,110,0,0,5184.049274,1378.028396,89.433109,2599.049382,0,57
,,,115,0,0,4861.523718,1398.435156,91.106293,2626.635251,0,56.1
,,,120,40,0,10490.38084,1416.985908,92.673421,2650.365323,0,55.4
,,,125,0,0,9800.381038,1465.858608,96.082798,2735.695031,0,54.8
,,,130,0,0,9159.638281,1510.731797,99.265366,2812.476614,0,54.3
,,,135,0,0,8564.623004,1551.89381,102.237308,2881.347993,0,53.8
,,,140,0,0,8012.058598,1589.612314,105.013647,2942.901581,0,53.4
,,,145,0,0,7498.903287,1624.135785,107.608331,2997.686458,0,52.2
,,,150,0,0,7022.333292,1655.694885,110.034307,3046.212562,0,51
,,,155,0,0,6579.727214,1684.50374,112.303597,3088.952784,0,49.9
